시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
성남시,2016   ,2016-07-13 01시,야간,수요일,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,경형,보행자,보행자,1,0,1,0,0,37.37505382,127.10442675
포천시,2016   ,2016-07-11 19시,야간,월요일,차량단독,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,소형,없음,없음,1,0,1,0,0,37.81023425,127.21014453
부천시,2016   ,2016-07-09 03시,야간,토요일,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,화물차,대형,이륜차,중형,1,0,1,0,0,37.53181218,126.7891708
이천시,2016   ,2016-07-09 01시,야간,토요일,차대차,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,승용차,소형,1,0,1,0,0,37.28970448,127.45375539
성남시,2016   ,2016-07-08 14시,주간,금요일,차대차,측면충돌,운전자법규위반,과속,단일로,기타단일로,화물차,중형,자전거,자전거,1,0,1,0,0,37.42210144,127.15179342
파주시,2016   ,2016-07-07 23시,야간,목요일,차대사람,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,1,0,1,0,0,37.70172476,126.71838803
평택시,2016   ,2016-07-07 22시,야간,목요일,차량단독,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,없음,없음,1,0,1,0,0,36.96464868,127.06775904
남양주시,2016   ,2016-07-07 20시,야간,목요일,차대차,정면충돌,운전자법규위반,부당한 회전,단일로,기타단일로,자전거,자전거,승용차,중형,1,0,1,0,0,37.57040565,127.32346823
이천시,2016   ,2016-07-06 08시,주간,수요일,차대차,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,승용차,경형,1,1,2,0,0,37.30489057,127.4757277
남양주시,2016   ,2016-07-05 12시,주간,화요일,차대사람,횡단중,운전자법규위반,신호위반,교차로,교차로부근,화물차,소형,보행자,보행자,1,0,1,0,0,37.69846696,127.19466525
김포시,2016   ,2016-07-04 13시,주간,월요일,차대차,정면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,승용차,경형,이륜차,소형,1,0,1,0,0,37.71528317,126.55504743
파주시,2016   ,2016-07-04 05시,야간,월요일,차량단독,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,1,0,1,0,0,37.71647511,126.7596349
포천시,2016   ,2016-07-03 14시,주간,일요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,승용차,경형,2,2,4,0,0,38.03262402,127.3845695
동두천시,2016   ,2016-07-03 09시,주간,일요일,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승합차,중형,이륜차,소형,1,0,1,0,0,37.89591393,127.0522938
시흥시,2016   ,2016-07-02 01시,야간,토요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0,37.3860207,126.74452922
군포시,2016   ,2016-07-01 18시,야간,금요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1,0,1,0,0,37.37378011,126.92941548
용인시,2016   ,2016-07-01 18시,야간,금요일,차대사람,기타,운전자법규위반,과속,교차로,교차로부근,승용차,중형,보행자,보행자,1,3,5,1,0,37.23775817,127.20838245
안산시,2016   ,2016-07-01 17시,주간,금요일,차대사람,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0,37.31504274,126.833865
이천시,2016   ,2016-07-01 13시,주간,금요일,차대차,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,소형,1,0,1,0,0,37.09417001,127.54578793
시흥시,2016   ,2016-07-01 06시,주간,금요일,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,원동기장치자전거,원동기장치자전거,1,0,1,0,0,37.34331594,126.74202194
고양시,2016   ,2016-06-30 06시,주간,목요일,차대차,측면충돌,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,이륜차,중형,1,0,1,0,0,37.67274554,126.74296977
평택시,2016   ,2016-06-30 02시,야간,목요일,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,소형,2,1,4,0,1,36.95460187,126.84762055
평택시,2016   ,2016-06-29 07시,주간,수요일,차대차,측면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,승용차,경형,승용차,소형,1,0,3,0,2,36.99321625,127.13224908
광주시,2016   ,2016-06-28 23시,야간,화요일,차대차,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,건설기계,건설기계,3,2,6,0,1,37.35429694,127.3201929
의정부시,2016   ,2016-06-28 01시,야간,화요일,차대사람,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,경형,보행자,보행자,1,0,1,0,0,37.74802196,127.05814668
