시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반대분류명,법규위반내용,도로형태_대분류,도로형태,가해자 당사자 종별,당사자1_차종,피해자 당사자 종별,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
파주시,2022   ,2022-12-31 20시,야간,토요일,차대사람,횡단중,,,단일로,기타단일로,이륜차,,보행자,,1,0,2,1,0,37.76212041,126.77606214
의정부시,2022   ,2022-12-30 06시,주간,금요일,차대차,측면충돌,,,단일로,기타단일로,자전거,,화물차,,1,0,1,0,0,37.71106391,127.05955749
이천시,2022   ,2022-12-29 16시,주간,목요일,차대차,기타,,,기타,기타,화물차,,승용차,,1,0,1,0,0,37.24554465,127.49377601
평택시,2022   ,2022-12-29 14시,주간,목요일,차량단독,기타,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.00948878,126.97455951
화성시,2022   ,2022-12-29 11시,주간,목요일,차량단독,기타,,,기타,기타,이륜차,,없음,,1,0,1,0,0,37.05160269,126.85060371
파주시,2022   ,2022-12-28 08시,주간,수요일,차대차,후진중충돌,,,단일로,기타단일로,건설기계,,자전거,,1,0,1,0,0,37.74149382,126.81293468
이천시,2022   ,2022-12-27 17시,주간,화요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,0,2,0,1,37.24546355,127.49445254
평택시,2022   ,2022-12-26 21시,야간,월요일,차대차,추돌,,,교차로,교차로내,승합차,,개인형이동수단(PM),,1,0,2,0,1,37.04167461,127.04558612
평택시,2022   ,2022-12-26 20시,야간,월요일,차량단독,전도,,,단일로,기타단일로,개인형이동수단(PM),,없음,,1,0,1,0,0,37.06112247,127.05378235
남양주시,2022   ,2022-12-26 18시,야간,월요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.65949515,127.28555988
성남시,2022   ,2022-12-24 10시,주간,토요일,차대차,측면충돌,,,교차로,교차로내,이륜차,,화물차,,1,1,2,0,0,37.43006934,127.15171131
여주시,2022   ,2022-12-22 19시,야간,목요일,차량단독,도로이탈 추락,,,단일로,기타단일로,농기계,,없음,,1,0,1,0,0,37.34356707,127.68776352
안성시,2022   ,2022-12-22 15시,주간,목요일,차대차,측면충돌,,,단일로,기타단일로,승용차,,승용차,,1,0,2,0,1,37.03804732,127.15104747
수원시,2022   ,2022-12-22 14시,주간,목요일,차대사람,기타,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.26553640,127.01507901
용인시,2022   ,2022-12-22 12시,주간,목요일,차대사람,횡단중,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.33734030,127.24990271
안산시,2022   ,2022-12-22 01시,야간,목요일,차량단독,기타,,,교차로,교차로내,승용차,,없음,,1,0,1,0,0,37.31743627,126.81576393
화성시,2022   ,2022-12-21 07시,주간,수요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.09638164,126.89778822
부천시,2022   ,2022-12-21 01시,야간,수요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.52362561,126.78430303
안양시,2022   ,2022-12-18 13시,주간,일요일,차대차,추돌,,,단일로,교량위,승용차,,승용차,,1,0,10,2,7,37.41575025,126.89190681
과천시,2022   ,2022-12-18 03시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.45362455,126.99085882
과천시,2022   ,2022-12-17 14시,주간,토요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.42942602,127.00217856
동두천시,2022   ,2022-12-16 09시,주간,금요일,차대차,측면충돌,,,단일로,교량위,승용차,,승용차,,1,1,2,0,0,37.91467202,127.03425059
용인시,2022   ,2022-12-14 18시,야간,수요일,차대사람,차도통행중,,,교차로,교차로부근,화물차,,보행자,,1,0,1,0,0,37.19637938,127.25421084
용인시,2022   ,2022-12-14 16시,주간,수요일,차대차,추돌,,,교차로,교차로부근,화물차,,승용차,,1,0,2,0,1,37.31975635,127.10247076
안산시,2022   ,2022-12-13 07시,주간,화요일,차대사람,차도통행중,,,교차로,교차로부근,화물차,,보행자,,1,0,1,0,0,37.23131775,126.63517262
파주시,2022   ,2022-12-11 20시,야간,일요일,차대사람,길가장자리구역통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.81608600,126.69747194
이천시,2022   ,2022-12-11 17시,주간,일요일,차대차,측면충돌,,,단일로,기타단일로,화물차,,이륜차,,1,0,1,0,0,37.27720128,127.51386319
의정부시,2022   ,2022-12-10 22시,야간,토요일,차대차,기타,,,교차로,교차로내,이륜차,,승용차,,1,0,3,0,2,37.75688180,127.08029930
성남시,2022   ,2022-12-10 05시,야간,토요일,차대사람,횡단중,,,교차로,교차로부근,승용차,,보행자,,1,0,1,0,0,37.38863918,127.12426010
양평군,2022   ,2022-12-10 04시,야간,토요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,2,2,4,0,0,37.52691263,127.37019904
성남시,2022   ,2022-12-09 05시,야간,금요일,차대사람,횡단중,,,기타,기타,승용차,,보행자,,1,0,1,0,0,37.38184492,127.13355644
이천시,2022   ,2022-12-08 13시,주간,목요일,차량단독,기타,,,단일로,기타단일로,원동기장치자전거,,없음,,1,0,1,0,0,37.27802110,127.51730380
안산시,2022   ,2022-12-08 11시,주간,목요일,차대차,추돌,,,단일로,기타단일로,화물차,,특수차,,1,0,2,1,0,37.35026194,126.81846947
파주시,2022   ,2022-12-08 09시,주간,목요일,차대사람,횡단중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.81310803,126.79251496
평택시,2022   ,2022-12-07 10시,주간,수요일,차대사람,횡단중,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.07125422,127.06339747
화성시,2022   ,2022-12-06 15시,주간,화요일,차대차,기타,,,교차로,교차로내,화물차,,승용차,,1,2,5,0,2,37.20820805,126.72943507
안산시,2022   ,2022-12-06 07시,주간,화요일,차량단독,전복,,,단일로,기타단일로,화물차,,없음,,1,0,1,0,0,37.35235865,126.86817650
광명시,2022   ,2022-12-05 17시,주간,월요일,차대차,측면충돌,,,단일로,기타단일로,승용차,,승용차,,1,0,1,0,0,37.44877109,126.86187200
이천시,2022   ,2022-12-01 18시,야간,목요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.25688959,127.34377938
여주시,2022   ,2022-12-01 10시,주간,목요일,차량단독,기타,,,교차로,교차로내,자전거,,없음,,1,0,1,0,0,37.29209120,127.62415019
오산시,2022   ,2022-12-01 05시,야간,목요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.13024123,127.06778724
안양시,2022   ,2022-11-30 17시,주간,수요일,차대차,기타,,,교차로,교차로부근,승합차,,승용차,,1,0,7,6,0,37.39552291,126.96446539
평택시,2022   ,2022-11-30 12시,주간,수요일,차대차,추돌,,,단일로,기타단일로,화물차,,승용차,,1,0,3,0,2,37.09878851,127.11976572
안양시,2022   ,2022-11-29 20시,야간,화요일,차대차,측면충돌,,,단일로,기타단일로,개인형이동수단(PM),,승용차,,1,0,1,0,0,37.39949639,126.92386521
화성시,2022   ,2022-11-28 00시,야간,월요일,차대차,추돌,,,단일로,기타단일로,승용차,,승용차,,2,0,3,0,1,37.15828610,126.87603451
평택시,2022   ,2022-11-27 09시,주간,일요일,차대차,측면충돌,,,교차로,교차로내,승용차,,승합차,,1,0,3,0,2,36.99207896,127.12600637
오산시,2022   ,2022-11-27 05시,야간,일요일,차대차,추돌,,,단일로,기타단일로,이륜차,,승용차,,1,0,3,0,2,37.17194132,127.04159690
파주시,2022   ,2022-11-25 21시,야간,금요일,차대차,정면충돌,,,단일로,기타단일로,이륜차,,화물차,,1,0,1,0,0,37.74594068,126.84519745
포천시,2022   ,2022-11-24 17시,주간,목요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,2,1,0,37.83459019,127.16045525
김포시,2022   ,2022-11-24 14시,주간,목요일,차량단독,공작물충돌,,,기타,기타,승합차,,없음,,1,0,1,0,0,37.66593960,126.67174336
용인시,2022   ,2022-11-24 05시,야간,목요일,차대사람,횡단중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.26373974,127.19532387
오산시,2022   ,2022-11-23 14시,주간,수요일,차대차,추돌,,,단일로,기타단일로,승용차,,승용차,,1,0,3,1,1,37.15793992,127.08752997
용인시,2022   ,2022-11-23 13시,주간,수요일,차대차,기타,,,단일로,기타단일로,화물차,,승용차,,3,0,4,0,1,37.23902989,127.28951896
의정부시,2022   ,2022-11-22 09시,주간,화요일,차대사람,차도통행중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.73747070,127.04014109
부천시,2022   ,2022-11-22 01시,야간,화요일,차대차,기타,,,단일로,터널안,이륜차,,승용차,,1,0,1,0,0,37.50599286,126.82209103
남양주시,2022   ,2022-11-21 10시,주간,월요일,차대사람,횡단중,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.57974479,127.22122205
성남시,2022   ,2022-11-21 03시,야간,월요일,차량단독,기타,,,기타,기타,이륜차,,없음,,1,0,1,0,0,37.37756822,127.13806136
포천시,2022   ,2022-11-20 23시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.94043063,127.28245865
화성시,2022   ,2022-11-20 17시,주간,일요일,차대차,정면충돌,,,교차로,교차로내,화물차,,이륜차,,1,0,1,0,0,37.12774344,126.96985920
파주시,2022   ,2022-11-20 07시,주간,일요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,2,0,1,37.72394841,126.70050966
의정부시,2022   ,2022-11-18 19시,야간,금요일,차대차,측면충돌,,,교차로,교차로내,이륜차,,승용차,,1,0,1,0,0,37.74372754,127.04288323
포천시,2022   ,2022-11-18 17시,주간,금요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.83993609,127.17687614
김포시,2022   ,2022-11-18 17시,주간,금요일,차량단독,전도,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.66445429,126.62094260
양평군,2022   ,2022-11-18 13시,주간,금요일,차대사람,차도통행중,,,기타,기타,건설기계,,보행자,,1,0,1,0,0,37.52080260,127.45929409
광명시,2022   ,2022-11-17 11시,주간,목요일,차대차,기타,,,교차로,교차로내,이륜차,,승합차,,1,0,1,0,0,37.46915048,126.85352264
화성시,2022   ,2022-11-17 05시,야간,목요일,차대사람,기타,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.21231270,126.73551300
포천시,2022   ,2022-11-16 18시,야간,수요일,차대차,정면충돌,,,단일로,기타단일로,승용차,,승용차,,1,1,2,0,0,37.92102934,127.31065276
오산시,2022   ,2022-11-15 06시,주간,화요일,차량단독,기타,,,단일로,기타단일로,원동기장치자전거,,없음,,1,1,2,0,0,37.13421452,127.04557373
용인시,2022   ,2022-11-14 11시,주간,월요일,차대사람,기타,,,교차로,교차로내,승합차,,보행자,,1,0,1,0,0,37.29477279,127.11426849
안성시,2022   ,2022-11-13 15시,주간,일요일,차량단독,전도,,,교차로,교차로부근,승용차,,없음,,1,0,1,0,0,37.06731885,127.25657396
수원시,2022   ,2022-11-12 23시,야간,토요일,차대사람,기타,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.29145765,127.01002755
포천시,2022   ,2022-11-12 05시,야간,토요일,차대차,추돌,,,단일로,기타단일로,승용차,,건설기계,,1,0,2,0,1,37.99633580,127.24550626
파주시,2022   ,2022-11-12 02시,야간,토요일,차대차,추돌,,,단일로,기타단일로,승용차,,개인형이동수단(PM),,1,0,1,0,0,37.82546734,126.78993126
양평군,2022   ,2022-11-11 21시,야간,금요일,차량단독,기타,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.51855424,127.73172347
안양시,2022   ,2022-11-10 01시,야간,목요일,차대차,기타,,,단일로,기타단일로,승용차,,승용차,,1,0,5,0,4,37.37980361,126.95866976
평택시,2022   ,2022-11-09 17시,주간,수요일,차대차,정면충돌,,,기타,기타,승용차,,자전거,,1,0,1,0,0,36.95424836,126.96237051
이천시,2022   ,2022-11-08 06시,주간,화요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.30846727,127.40222914
화성시,2022   ,2022-11-06 10시,주간,일요일,차대차,추돌,,,단일로,터널안,화물차,,건설기계,,1,0,1,0,0,37.19013726,126.70519229
안양시,2022   ,2022-11-06 03시,야간,일요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.40256777,126.91059965
용인시,2022   ,2022-11-06 00시,야간,일요일,차대차,추돌,,,교차로,교차로부근,원동기장치자전거,,특수차,,1,0,1,0,0,37.32093751,127.09723888
파주시,2022   ,2022-11-04 19시,야간,금요일,차대차,정면충돌,,,교차로,교차로내,승용차,,이륜차,,1,0,1,0,0,37.72946719,126.73766055
화성시,2022   ,2022-11-04 19시,야간,금요일,차대사람,기타,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.20246171,126.72460290
양주시,2022   ,2022-11-03 16시,주간,목요일,차대차,측면충돌,,,단일로,기타단일로,화물차,,농기계,,1,0,1,0,0,37.78367001,127.07057433
평택시,2022   ,2022-11-02 22시,야간,수요일,차대차,기타,,,단일로,기타단일로,승용차,,이륜차,,2,0,2,0,0,36.99646623,127.05952111
부천시,2022   ,2022-11-02 16시,주간,수요일,차량단독,공작물충돌,,,단일로,기타단일로,개인형이동수단(PM),,없음,,1,0,1,0,0,37.48202280,126.79536590
양주시,2022   ,2022-11-02 13시,주간,수요일,차대차,추돌,,,단일로,터널안,화물차,,화물차,,1,0,3,0,2,37.70702089,126.96665634
안성시,2022   ,2022-11-01 04시,야간,화요일,차량단독,공작물충돌,,,교차로,교차로내,승용차,,없음,,1,0,1,0,0,37.10186695,127.51600320
평택시,2022   ,2022-10-31 01시,야간,월요일,차량단독,공작물충돌,,,교차로,교차로부근,승용차,,없음,,2,0,2,0,0,36.95214668,126.91443676
안양시,2022   ,2022-10-30 22시,야간,일요일,차대차,기타,,,교차로,교차로내,승용차,,이륜차,,1,0,1,0,0,37.38916639,126.94837896
화성시,2022   ,2022-10-30 18시,야간,일요일,차대사람,차도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.15989696,126.98213610
동두천시,2022   ,2022-10-29 22시,야간,토요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.89894535,127.05787154
수원시,2022   ,2022-10-29 00시,야간,토요일,차대차,측면충돌,,,교차로,교차로부근,승용차,,이륜차,,1,0,1,0,0,37.26289721,127.04979779
성남시,2022   ,2022-10-28 16시,주간,금요일,차대차,기타,,,교차로,교차로내,자전거,,승합차,,1,0,1,0,0,37.38606007,127.12673556
양평군,2022   ,2022-10-27 17시,주간,목요일,차량단독,도로이탈 추락,,,단일로,기타단일로,사륜오토바이(ATV),,없음,,1,0,1,0,0,37.59658786,127.59082866
가평군,2022   ,2022-10-27 14시,주간,목요일,차량단독,공작물충돌,,,교차로,교차로부근,이륜차,,없음,,1,0,1,0,0,37.83251756,127.52347817
화성시,2022   ,2022-10-26 13시,주간,수요일,차대차,추돌,,,단일로,기타단일로,화물차,,특수차,,1,0,1,0,0,37.16801675,127.09246504
평택시,2022   ,2022-10-26 12시,주간,수요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,1,0,0,37.05395483,126.89129687
안산시,2022   ,2022-10-25 19시,야간,화요일,차대차,추돌,,,단일로,지하차도(도로)내,이륜차,,화물차,,1,0,1,0,0,37.28662354,126.85526798
동두천시,2022   ,2022-10-25 12시,주간,화요일,차대차,기타,,,교차로,교차로부근,건설기계,,자전거,,1,0,1,0,0,37.94664549,127.06123933
화성시,2022   ,2022-10-25 09시,주간,화요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,1,4,1,1,37.10586619,126.83565631
포천시,2022   ,2022-10-24 18시,야간,월요일,차대차,추돌,,,단일로,기타단일로,이륜차,,화물차,,1,0,1,0,0,38.01237445,127.20871242
안성시,2022   ,2022-10-24 11시,주간,월요일,차대사람,기타,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.05153435,127.43878491
용인시,2022   ,2022-10-24 08시,주간,월요일,차대차,측면충돌,,,교차로,교차로내,승용차,,이륜차,,1,0,1,0,0,37.22806916,127.18759910
이천시,2022   ,2022-10-22 23시,야간,토요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.27911017,127.44692599
안산시,2022   ,2022-10-22 14시,주간,토요일,차대차,기타,,,단일로,기타단일로,화물차,,이륜차,,1,0,1,0,0,37.27963351,126.86112565
파주시,2022   ,2022-10-21 09시,주간,금요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.84976714,126.79306276
이천시,2022   ,2022-10-21 01시,야간,금요일,차대사람,기타,,,교차로,교차로부근,승용차,,보행자,,1,0,1,0,0,37.26975693,127.45488421
안산시,2022   ,2022-10-20 04시,야간,목요일,차대차,추돌,,,단일로,기타단일로,승용차,,화물차,,1,1,2,0,0,37.35357966,126.79399391
파주시,2022   ,2022-10-19 13시,주간,수요일,차대사람,기타,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.75368526,126.81082404
부천시,2022   ,2022-10-19 10시,주간,수요일,차대사람,횡단중,,,교차로,교차로횡단보도내,승용차,,보행자,,1,0,1,0,0,37.48327162,126.77974536
김포시,2022   ,2022-10-19 09시,주간,수요일,차대사람,차도통행중,,,교차로,교차로내,건설기계,,보행자,,1,0,1,0,0,37.69144153,126.59851823
김포시,2022   ,2022-10-18 18시,야간,화요일,차대차,추돌,,,단일로,기타단일로,자전거,,승용차,,1,0,1,0,0,37.65193747,126.59035789
동두천시,2022   ,2022-10-18 03시,야간,화요일,차량단독,공작물충돌,,,단일로,고가도로위,승용차,,없음,,1,0,1,0,0,37.90922594,127.02915446
안성시,2022   ,2022-10-17 10시,주간,월요일,차대차,정면충돌,,,교차로,교차로내,승용차,,승용차,,1,2,4,0,1,37.00547116,127.18382536
여주시,2022   ,2022-10-16 09시,주간,일요일,차량단독,주/정차차량 충돌,,,단일로,기타단일로,원동기장치자전거,,승용차,,1,0,1,0,0,37.30768253,127.70932938
화성시,2022   ,2022-10-15 23시,야간,토요일,차대차,추돌,,,기타,기타,승용차,,승용차,,1,2,3,0,0,37.16959530,126.62838619
화성시,2022   ,2022-10-15 22시,야간,토요일,차대사람,기타,,,기타,기타,이륜차,,보행자,,1,1,2,0,0,37.16669044,126.80996184
안성시,2022   ,2022-10-15 18시,야간,토요일,차대차,기타,,,기타,기타,이륜차,,화물차,,1,0,1,0,0,37.10636876,127.21233086
오산시,2022   ,2022-10-14 13시,주간,금요일,차량단독,전도,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.18473075,127.04823426
용인시,2022   ,2022-10-14 05시,야간,금요일,차대차,측면충돌,,,교차로,교차로내,이륜차,,승용차,,1,0,1,0,0,37.33749292,127.24960869
양주시,2022   ,2022-10-13 14시,주간,목요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,2,0,1,37.91119802,126.95560708
남양주시,2022   ,2022-10-12 11시,주간,수요일,차대차,추돌,,,교차로,교차로부근,이륜차,,승용차,,1,0,1,0,0,37.64440806,127.22924401
화성시,2022   ,2022-10-11 12시,주간,화요일,차대차,측면충돌,,,교차로,교차로내,이륜차,,승합차,,1,0,1,0,0,37.20218128,127.06736611
안산시,2022   ,2022-10-10 16시,주간,월요일,차량단독,기타,,,기타,기타,이륜차,,없음,,1,0,1,0,0,37.33562771,126.77370711
양평군,2022   ,2022-10-08 06시,주간,토요일,차대차,추돌,,,단일로,기타단일로,화물차,,농기계,,1,0,1,0,0,37.45225991,127.48797010
수원시,2022   ,2022-10-06 11시,주간,목요일,차대사람,차도통행중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.30409492,126.99286166
안산시,2022   ,2022-10-04 20시,야간,화요일,차대차,추돌,,,기타,기타,승용차,,화물차,,1,0,2,0,1,37.34016946,126.86769159
성남시,2022   ,2022-10-04 16시,주간,화요일,차대사람,길가장자리구역통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.43826558,127.15884015
안산시,2022   ,2022-10-04 08시,주간,화요일,차대차,추돌,,,단일로,기타단일로,승용차,,건설기계,,1,0,1,0,0,37.32536520,126.85698007
남양주시,2022   ,2022-10-04 01시,야간,화요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.64682857,127.24772374
용인시,2022   ,2022-10-03 21시,야간,월요일,차대사람,횡단중,,,교차로,교차로부근,이륜차,,보행자,,1,0,1,0,0,37.27626621,127.10576769
용인시,2022   ,2022-10-02 22시,야간,일요일,차대차,기타,,,교차로,교차로부근,승용차,,화물차,,1,0,2,0,1,37.26335120,127.21298671
성남시,2022   ,2022-10-01 06시,주간,토요일,차량단독,공작물충돌,,,교차로,교차로내,이륜차,,없음,,1,0,1,0,0,37.41329227,127.08400940
평택시,2022   ,2022-10-01 05시,야간,토요일,차량단독,도로이탈 추락,,,단일로,교량위,승용차,,없음,,1,0,1,0,0,36.99915518,127.08271365
광명시,2022   ,2022-10-01 01시,야간,토요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.45789788,126.84467573
양평군,2022   ,2022-09-28 19시,야간,수요일,차대사람,차도통행중,,,단일로,기타단일로,승합차,,보행자,,1,0,1,0,0,37.54056454,127.74985763
용인시,2022   ,2022-09-28 19시,야간,수요일,차대사람,기타,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.28142191,127.18716439
용인시,2022   ,2022-09-27 15시,주간,화요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,1,0,0,37.24562081,127.25739978
안산시,2022   ,2022-09-26 12시,주간,월요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.26041917,126.58312280
안양시,2022   ,2022-09-22 19시,야간,목요일,차량단독,기타,,,단일로,기타단일로,자전거,,없음,,1,0,1,0,0,37.42385521,126.89928919
수원시,2022   ,2022-09-22 10시,주간,목요일,차대차,기타,,,단일로,기타단일로,승합차,,승용차,,1,0,3,0,2,37.32033211,126.98319301
김포시,2022   ,2022-09-22 07시,주간,목요일,차대차,기타,,,단일로,기타단일로,건설기계,,승용차,,1,3,4,0,0,37.71106996,126.60534851
양평군,2022   ,2022-09-21 07시,주간,수요일,차대사람,길가장자리구역통행중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.48990178,127.50075790
양주시,2022   ,2022-09-20 19시,야간,화요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.79321321,126.99302378
김포시,2022   ,2022-09-20 07시,주간,화요일,차대차,정면충돌,,,기타,기타,승용차,,승용차,,1,0,1,0,0,37.64856931,126.57104908
수원시,2022   ,2022-09-20 02시,야간,화요일,차대차,추돌,,,단일로,기타단일로,화물차,,개인형이동수단(PM),,1,0,1,0,0,37.27318886,126.96279532
용인시,2022   ,2022-09-20 00시,야간,화요일,차량단독,공작물충돌,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.27345990,127.09951096
오산시,2022   ,2022-09-18 21시,야간,일요일,차량단독,공작물충돌,,,단일로,기타단일로,이륜차,,없음,,1,0,1,0,0,37.12940120,127.06731918
수원시,2022   ,2022-09-16 23시,야간,금요일,차량단독,공작물충돌,,,단일로,기타단일로,승용차,,없음,,1,0,1,0,0,37.29083896,126.96898775
평택시,2022   ,2022-09-16 19시,야간,금요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,2,0,1,36.99697077,126.84465149
파주시,2022   ,2022-09-16 11시,주간,금요일,차대차,정면충돌,,,단일로,지하차도(도로)내,승용차,,승합차,,1,2,8,0,5,37.93144079,126.83140262
의정부시,2022   ,2022-09-16 00시,야간,금요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.70037367,127.05462948
화성시,2022   ,2022-09-15 07시,주간,목요일,차대사람,횡단중,,,단일로,기타단일로,화물차,,보행자,,1,0,1,0,0,37.06555812,126.84268959
용인시,2022   ,2022-09-15 02시,야간,목요일,차량단독,공작물충돌,,,교차로,교차로내,승용차,,없음,,1,0,1,0,0,37.21875654,127.20837672
안양시,2022   ,2022-09-13 07시,주간,화요일,차대사람,기타,,,교차로,교차로내,화물차,,보행자,,1,0,1,0,0,37.40381674,126.95487012
안성시,2022   ,2022-09-13 02시,야간,화요일,차대사람,기타,,,기타,기타,승용차,,보행자,,1,0,1,0,0,37.00645792,127.18882302
이천시,2022   ,2022-09-11 17시,주간,일요일,차대차,기타,,,교차로,교차로내,개인형이동수단(PM),,승용차,,1,0,1,0,0,37.27468436,127.44706445
성남시,2022   ,2022-09-11 00시,야간,일요일,차대차,측면충돌,,,교차로,교차로내,승용차,,승합차,,1,1,3,0,1,37.37948196,127.13604160
용인시,2022   ,2022-09-10 21시,야간,토요일,차대사람,횡단중,,,교차로,교차로횡단보도내,이륜차,,보행자,,1,1,2,0,0,37.27525417,127.22630801
수원시,2022   ,2022-09-09 23시,야간,금요일,차대차,정면충돌,,,교차로,교차로내,승용차,,승용차,,2,1,3,0,0,37.24994728,127.01851659
이천시,2022   ,2022-09-09 00시,야간,금요일,차대사람,횡단중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.24327209,127.36038172
용인시,2022   ,2022-09-07 15시,주간,수요일,차대사람,보도통행중,,,단일로,기타단일로,승용차,,보행자,,1,0,1,0,0,37.30614057,127.08531132
평택시,2022   ,2022-09-05 20시,야간,월요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,2,0,1,37.05120972,126.88686524
여주시,2022   ,2022-09-05 15시,주간,월요일,차대사람,기타,,,기타,기타,화물차,,보행자,,1,0,1,0,0,37.24863535,127.63183660
화성시,2022   ,2022-09-02 12시,주간,금요일,차대차,추돌,,,단일로,기타단일로,화물차,,화물차,,1,0,4,1,2,37.18541958,126.87285961
평택시,2022   ,2022-09-01 17시,주간,목요일,차대차,추돌,,,단일로,기타단일로,승용차,,승용차,,1,3,5,0,1,37.04348476,126.88343011
부천시,2022   ,2022-09-01 15시,주간,목요일,차대사람,기타,,,교차로,교차로내,화물차,,보행자,,1,0,1,0,0,37.48435831,126.77029033
양평군,2022   ,2022-08-31 17시,주간,수요일,차대차,추돌,,,단일로,기타단일로,특수차,,승용차,,1,0,1,0,0,37.39946717,127.76905882
파주시,2022   ,2022-08-30 23시,야간,화요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.81311691,126.79249215
화성시,2022   ,2022-08-30 21시,야간,화요일,차대차,기타,,,단일로,기타단일로,화물차,,화물차,,1,2,6,0,3,37.07309025,126.85681027
평택시,2022   ,2022-08-29 19시,야간,월요일,차대차,추돌,,,단일로,기타단일로,승용차,,개인형이동수단(PM),,1,0,1,0,0,37.00914696,127.07617342
포천시,2022   ,2022-08-26 10시,주간,금요일,차량단독,전도,,,단일로,기타단일로,자전거,,없음,,1,0,1,0,0,37.87386672,127.22513171
평택시,2022   ,2022-08-25 12시,주간,목요일,차대차,정면충돌,,,교차로,교차로부근,승합차,,건설기계,,1,0,2,0,1,37.01366842,127.07012319
양주시,2022   ,2022-08-24 15시,주간,수요일,차대사람,횡단중,,,교차로,교차로내,승용차,,보행자,,1,0,1,0,0,37.82036824,127.09248387
